order_id,customer_id,order_status,currency,created_via,is_returning_order,billing_country,shipping_country,order_total,total_tax,discount_total,shipping_total,date_created_utc,date_paid_gmt
11792,0,completed,EUR,checkout,Yes,at,at,51.5,8.22,0.0,10.5,2023-01-18 16:11:05.000000 UTC,2023-01-18 16:11:24.000000 UTC
13832,160,completed,EUR,admin,Yes,de,de,369.0,58.92,30.0,10.08,2024-01-02 10:32:39.000000 UTC,2024-01-02 10:35:32.000000 UTC
15232,160,processing,EUR,admin,Yes,de,de,381.28,60.88,40.44,8.4,2025-01-21 09:08:44.000000 UTC,2025-01-21 09:20:50.000000 UTC
14713,160,processing,EUR,admin,Yes,de,de,372.0,59.39,52.44,12.61,2024-09-09 07:26:42.000000 UTC,2024-09-09 07:29:53.000000 UTC
14574,160,processing,EUR,admin,Yes,de,de,372.0,59.39,52.44,12.61,2024-07-16 10:36:58.000000 UTC,2024-07-16 10:38:21.000000 UTC
14154,205,processing,EUR,admin,Yes,de,de,168.88,26.96,0.0,8.4,2024-04-22 19:40:47.000000 UTC,2024-04-22 19:54:51.000000 UTC
14039,345,processing,EUR,admin,Yes,de,de,331.3,52.9,11.95,8.4,2024-03-15 09:55:06.000000 UTC,2024-03-15 09:56:59.000000 UTC
16168,345,processing,EUR,admin,Yes,de,de,177.76,28.38,0.0,8.4,2026-01-20 12:01:44.000000 UTC,2026-01-20 12:03:12.000000 UTC
14161,389,processing,EUR,admin,Yes,de,de,177.76,28.38,0.0,8.4,2024-04-23 11:15:17.000000 UTC,2024-04-23 11:16:45.000000 UTC
14137,389,processing,EUR,admin,Yes,de,de,93.88,14.99,0.0,8.4,2024-04-15 09:29:54.000000 UTC,2024-04-15 09:32:17.000000 UTC
13517,409,pending,EUR,admin,No,de,de,1032.55,164.86,0.0,17.48,2023-10-04 08:58:40.000000 UTC,
14298,549,processing,EUR,admin,Yes,de,de,530.92,84.77,45.37,37.82,2024-05-10 01:14:05.000000 UTC,2024-05-10 01:23:22.000000 UTC
15021,549,processing,EUR,admin,Yes,de,de,470.16,75.07,0.0,12.61,2024-11-14 12:29:42.000000 UTC,2024-11-14 13:49:07.000000 UTC
15829,665,processing,EUR,admin,Yes,de,de,65.72,10.49,0.0,4.2,2025-08-29 08:43:38.000000 UTC,2025-08-29 08:45:06.000000 UTC
15111,746,processing,EUR,admin,No,de,de,111.04,17.73,0.0,8.4,2024-12-13 08:33:02.000000 UTC,2024-12-13 08:35:41.000000 UTC
15306,809,completed,EUR,admin,No,de,de,93.88,14.99,0.0,8.4,2025-02-20 10:08:12.000000 UTC,2025-02-20 10:14:26.000000 UTC
15631,813,processing,EUR,admin,Yes,de,de,211.32,33.74,0.0,12.61,2025-06-06 09:31:23.000000 UTC,2025-06-06 09:35:07.000000 UTC
15485,833,completed,EUR,checkout,No,es,es,109.5,17.48,0.0,16.39,2025-04-02 20:40:17.000000 UTC,2025-04-02 20:52:12.000000 UTC
15689,892,completed,EUR,checkout,No,it,it,69.5,11.1,0.0,16.39,2025-06-25 20:50:51.000000 UTC,2025-06-25 20:52:20.000000 UTC
16140,1014,completed,EUR,checkout,No,at,at,67.5,10.78,0.0,16.39,2026-01-12 21:40:17.000000 UTC,2026-01-12 21:40:32.000000 UTC
16149,1015,processing,EUR,checkout,No,it,it,148.78,23.75,0.0,18.91,2026-01-15 05:33:47.000000 UTC,2026-01-15 05:36:21.000000 UTC
12831,0,completed,EUR,checkout,Yes,de,de,107.5,17.16,0.0,0.0,2023-06-19 10:58:25.000000 UTC,2023-06-19 10:59:08.000000 UTC
12042,0,completed,EUR,checkout,Yes,de,de,88.5,14.13,0.0,0.0,2023-02-13 13:55:09.000000 UTC,2023-02-13 13:55:42.000000 UTC
11791,0,completed,EUR,checkout,Yes,at,at,241.0,38.48,0.0,0.0,2023-01-18 15:36:00.000000 UTC,2023-01-18 15:39:54.000000 UTC
11899,0,completed,EUR,checkout,Yes,de,de,123.5,19.72,0.0,0.0,2023-02-05 13:03:19.000000 UTC,2023-02-05 13:03:52.000000 UTC
12434,0,completed,EUR,checkout,Yes,de,de,137.0,21.87,0.0,0.0,2023-04-22 19:14:25.000000 UTC,2023-04-22 19:16:17.000000 UTC
12361,0,completed,EUR,checkout,Yes,de,de,84.5,13.49,0.0,0.0,2023-04-01 10:34:05.000000 UTC,2023-04-01 10:35:05.000000 UTC
13856,0,completed,EUR,checkout,Yes,de,de,93.0,14.85,0.0,0.0,2024-01-12 13:59:32.000000 UTC,2024-01-12 13:59:56.000000 UTC
15156,0,completed,EUR,checkout,Yes,de,de,26.0,4.15,0.0,0.0,2024-12-17 14:12:56.000000 UTC,2024-12-17 14:15:39.000000 UTC
13497,0,completed,EUR,checkout,Yes,de,de,82.0,13.09,0.0,0.0,2023-09-25 20:54:37.000000 UTC,2023-09-25 20:55:19.000000 UTC
12717,0,completed,EUR,checkout,Yes,de,de,184.5,29.46,0.0,0.0,2023-06-09 08:01:31.000000 UTC,2023-06-09 08:01:59.000000 UTC
15841,0,processing,EUR,checkout,Yes,de,de,80.0,12.77,0.0,0.0,2025-09-04 11:54:22.000000 UTC,2025-09-04 11:55:06.000000 UTC
13152,0,completed,EUR,checkout,Yes,de,de,80.5,12.85,0.0,0.0,2023-07-12 17:40:23.000000 UTC,2023-07-12 17:41:42.000000 UTC
13186,0,completed,EUR,admin,Yes,de,de,46.0,7.34,0.0,0.0,2023-07-18 11:17:06.000000 UTC,2023-07-19 05:02:10.000000 UTC
11777,0,completed,EUR,admin,Yes,de,de,198.5,31.69,0.0,0.0,2023-01-16 18:01:12.000000 UTC,2023-01-16 18:40:25.000000 UTC
12609,0,completed,EUR,checkout,Yes,de,de,81.0,12.93,0.0,0.0,2023-05-26 21:51:16.000000 UTC,2023-05-26 21:52:48.000000 UTC
12612,0,completed,EUR,checkout,Yes,de,de,184.5,29.46,0.0,0.0,2023-05-27 13:01:16.000000 UTC,2023-05-27 13:02:16.000000 UTC
15774,0,processing,EUR,checkout,Yes,de,de,180.0,28.74,0.0,0.0,2025-07-26 14:01:24.000000 UTC,2025-07-26 14:01:46.000000 UTC
16095,0,processing,EUR,admin,Yes,de,de,152.64,24.37,0.0,0.0,2025-12-18 09:17:53.000000 UTC,2025-12-18 09:22:27.000000 UTC
13207,0,completed,EUR,checkout,Yes,de,de,104.0,16.61,0.0,0.0,2023-07-21 16:50:21.000000 UTC,2023-07-21 16:53:08.000000 UTC
13107,0,completed,EUR,checkout,Yes,de,de,126.5,20.2,0.0,0.0,2023-07-03 18:54:36.000000 UTC,2023-07-03 18:55:45.000000 UTC
15187,0,completed,EUR,checkout,Yes,de,de,117.0,18.68,0.0,0.0,2024-12-23 20:00:27.000000 UTC,2024-12-23 20:00:59.000000 UTC
11726,0,completed,EUR,checkout,Yes,de,de,96.5,15.41,0.0,0.0,2022-12-29 20:21:59.000000 UTC,2022-12-30 09:58:30.000000 UTC
16130,0,processing,EUR,checkout,Yes,de,de,196.0,31.29,0.0,0.0,2026-01-02 13:25:46.000000 UTC,2026-01-02 13:27:36.000000 UTC
15389,0,completed,EUR,checkout,Yes,de,de,84.0,13.41,0.0,0.0,2025-03-21 16:46:00.000000 UTC,2025-03-21 16:48:03.000000 UTC
12952,0,completed,EUR,checkout,Yes,de,de,128.5,20.52,0.0,0.0,2023-06-27 18:43:05.000000 UTC,2023-06-27 18:43:36.000000 UTC
12432,0,completed,EUR,checkout,Yes,at,at,154.5,24.67,0.0,0.0,2023-04-21 19:43:29.000000 UTC,2023-04-21 19:47:14.000000 UTC
